Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: item,Spreadsheet: randomise,Spreadsheet: type
1,1758798837898,25/09/2025 11:13:57,1758798837898,1,25/09/2025 12:13:57,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1758798840604,25/09/2025 11:14:00,1758798840604,1,25/09/2025 12:14:00,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,1,instr,Screen 1,3y5lbv,1,continue,,2721.3760000011175,2717.276,2721.3760000011175,2721.3760000011175,2717.276,2721.3760000011175,1,0,0,,Click To Continue,Continue Button,2,object-23,instr,,,,,,,,,,,,,,,,,instr,,
3,1758798856421,25/09/2025 11:14:16,1758798856421,1,25/09/2025 12:14:16,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,1,post_single,Screen 1,yruilm,1,continue,,15820.700000000745,15818.199999999999,15820.700000000745,15820.700000000745,15818.199999999999,15820.700000000745,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Hugo Spiers,"Fancy backing a film, supporting a crazy research expedition and helping enhance the lives of people in one of the most remote parts of our planet... ?! In 3 weeks I'll be leading a research expedition to understand the incredible knoweldge of indigenous sailors of the Marshall Islands. We we will be making a documentary about this research and bringing food and fishing gear to the atoll of Aur. Please donate $5 for our crowd funder!",hugopost.jpg,hugo.jpg,,543,0,4,3,,,,,,,,yacht,1,filler
4,1758798865852,25/09/2025 11:14:25,1758798865852,1,25/09/2025 12:14:25,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,2,post_single,Screen 1,yruilm,1,continue,,9434.2,9419.3,9434.2,9434.2,9419.3,9434.2,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,chad_s,There is no in between 🐶😂❤️,puppy image.png,puppyID.png,57,2,100,23,45,32,,,,,,,puppy,1,filler
5,1758798868648,25/09/2025 11:14:28,1758798868648,1,25/09/2025 12:14:28,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,3,post_single,Screen 1,yruilm,1,continue,,2811.0000000014916,2800.300000000003,2811.0000000014916,2811.0000000014916,2800.300000000003,2811.0000000014916,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,fashion_now567,Last Day 🔥 Promotion 50% OFF A Bluetooth fashion smartwatch.🔥 $85.69 redcued to $59.99 Save 30%. HURRY! ONLY 45 LEFT IN STOCK. 98% customer buy 2-4 items to use daily and gifts for their beloved one. Sale ending in 2:43 hours,watch1.jpg,,,87,0,45,13,,7,,,,fangirl444,GREAT!!!! ARRIVED QUICKLY AND SAVED ££££,watch,1,filler
6,1758798871706,25/09/2025 11:14:31,1758798871706,1,25/09/2025 12:14:31,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,4,post_single,Screen 1,yruilm,1,continue,,3068.4000000007436,3066.4000000000015,3068.4000000007436,3068.4000000007436,3066.4000000000015,3068.4000000007436,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,natgeo,"Photo by @chrisburkard | Russia's remote, volcanic Kuril Islands sit along the Pacific Ring of Fire where runoff from the land creates dramatic color shifts in the water. The vibrant patterns are caused by suspended minerals and silt, constantly reshaped by tides and wind. In a region defined by isolation and tectonic unrest, even the ocean becomes a canvas of motion and change.",natgeo.png,natgoeID.png,45,98,30,3,22,,5,,,,gzh43_bristol,"Real, or AI??",natgeo,1,filler
7,1758798873336,25/09/2025 11:14:33,1758798873336,1,25/09/2025 12:14:33,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,5,post_single,Screen 1,yruilm,1,continue,,1632.0000000007421,1617.699999999997,1632.0000000007421,1632.0000000007421,1617.699999999997,1632.0000000007421,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,local dave,Just wanted to recommend a place to eat called Sarvs Slice. It serves Detroit style pizza and I have  been there twice this week. Absolutely amazing.,slice.png,slice ID.png,1,32,11,5,4,,,,2,,Chet_W5,"I do want to try Detroit style ,and that looks very good. Will check it out ",pizza,1,filler
8,1758798875262,25/09/2025 11:14:35,1758798875262,1,25/09/2025 12:14:35,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,6,post_single,Screen 1,yruilm,1,continue,,1940.300000000745,1933.699999999997,1940.300000000745,1940.300000000745,1933.699999999997,1940.300000000745,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Pauline G,Selling my handmade beautiful jewellery in Liverpool - this weekend. Please visit and buy yourself some jewellery you never knew you needed! ,jewel.jpg,pg.jpg,,87,78,43,32,3,,,,,,,jewellery,1,filler
9,1758798877352,25/09/2025 11:14:37,1758798877352,1,25/09/2025 12:14:37,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,7,post_single,Screen 1,yruilm,1,continue,,2096.800000000003,2083.7000000000044,2096.800000000003,2096.800000000003,2083.7000000000044,2096.800000000003,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Barbel fishing,"I really can't remember a summer when I've spent so little time barbel fishing. It's been like 'groundhog day' week after week the Severn has remained low - only water from Clywedog, Lake Vyrnwy and various boreholes stopped the river being reduced to a mere trickle in places.
We've had to wait until halfway through September for a decent lump of water. Today at Shrewsbury, the river was carrying just over a metre of lovely coloured, fresh water - having risen steadily overnight.
Yesterday afternoon I fished pellets for 3 barbel and two chub and the river was just starting to colour up as I called it a day. Today's session was the usual one rod approach, but I'd decided that a meat attack might be the best bet to find a few bigger specimens.
There was nothing complicated about my set-up, a 3oz lead and a foot long hooklink armed with a size four hook. To add a bit of extra feed into the swim, I'd made up some PVA bags containing pellets and small pieces of luncheon meat.
Needless to say, sunken weed and twigs were ever present. That's only to be expected with the first floodwater of the season - but casting upstream and relatively close to the bank went some way to alleviating the problem.
Happily, my four hour session turned out to be very successful - six good sized barbel reminded me what I had been missing during the hot summer. Strangely enough, the biggest barbel was the first fish of the session and in lovely autumn sunshine too.",fish pic.png,fishID.png,2,6,8,2,1,,4,,,1,fishyPete,Nice!,fish,1,filler
10,1758798879928,25/09/2025 11:14:39,1758798879928,1,25/09/2025 12:14:39,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,8,post_single,Screen 1,yruilm,1,continue,,2589.300000001116,2583.7999999999956,2589.300000001116,2589.300000001116,2583.7999999999956,2589.300000001116,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,North London Council,"🌳 Help water our street trees this summer 🌞 Our street trees are feeling the heat and could use a little extra help to stay healthy and green 🥵 We’re lucky to have over 2,500 young trees across the borough, and while our teams are out daily watering them, young trees need up to 80 litres of water a week — especially during hot, dry weather.
Here’s how you can help: 💧If you’re walking by, top up the green watering bag,  pour water into the pipe, or water the soil around the tree 🚰 You can reuse rainwater, bath water, or even leftover washing-up water (it’s safe for the trees!) 🌅  Try to water in the morning or evening when it’s cooler — but any time helps. Trees clean our air, cool our streets, support birds and insects, and make our neighbourhoods more beautiful. Let’s return the favour and help them thrive! Thank you for helping to support our local trees 🙏",tree1.jpg,londoncouncil.jpg,,24,7,6,1,,,,,,,,trees,2,trees
