Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1758799003001,25/09/2025 11:16:43,1758799003001,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,,,,,info,,BEGIN,,,,,
2,1758799003053,25/09/2025 11:16:43,1758799003053,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758799003056,25/09/2025 11:16:43,1758799003056,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
4,1758799003058,25/09/2025 11:16:43,1758799003058,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4
5,1758799003061,25/09/2025 11:16:43,1758799003061,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6
6,1758799003066,25/09/2025 11:16:43,1758799003066,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13
7,1758799003068,25/09/2025 11:16:43,1758799003068,1,25/09/2025 12:16:43,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_sci,7,object-14
16,1758799029591,25/09/2025 11:17:09,1758799029591,1,25/09/2025 12:17:09,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,3,,,trees_find_out,2,object-3
17,1758799029591,25/09/2025 11:17:09,1758799029591,1,25/09/2025 12:17:09,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,3,,,trees_water,3,object-5
18,1758799029591,25/09/2025 11:17:09,1758799029591,1,25/09/2025 12:17:09,239176,3,questionnaire-jx4p,,49415656,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,5,,,filler_travel,4,object-4
