Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1758798806344,25/09/2025 11:13:26,1758798806344,1,25/09/2025 12:13:26,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,,,,,info,,BEGIN,,,,,
2,1758798806441,25/09/2025 11:13:26,1758798806441,1,25/09/2025 12:13:26,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,,info,,18,,,age,1,object-2
3,1758798806447,25/09/2025 11:13:26,1758798806447,1,25/09/2025 12:13:26,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,,info,,0,,,live_dist,3,object-6
4,1758798806450,25/09/2025 11:13:26,1758798806450,1,25/09/2025 12:13:26,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,,info,,1,,,live_time,4,object-7
26,1758798835620,25/09/2025 11:13:55,1758798835620,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,How many years old are you?,response,value,38,,,age,1,object-2
27,1758798835620,25/09/2025 11:13:55,1758798835620,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Are you,response,value,Male,,Male|Female|You would rather not say,gender,2,object-4
28,1758798835620,25/09/2025 11:13:55,1758798835620,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Are you,response,quantised,1,,Male|Female|You would rather not say,gender,2,object-4
29,1758798835621,25/09/2025 11:13:55,1758798835621,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Roughly how many miles do you live from a city centre?,response,value,4,,,live_dist,3,object-6
30,1758798835621,25/09/2025 11:13:55,1758798835621,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,How long have you been a resident in your local area in year?,response,value,4,,,live_time,4,object-7
31,1758798835621,25/09/2025 11:13:55,1758798835621,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,What is your approximate household income?,response,value,"£31,000 to £60,000",,,income,5,object-8
32,1758798835622,25/09/2025 11:13:55,1758798835622,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,What is your approximate household income?,response,quantised,2,,,income,5,object-8
33,1758798835622,25/09/2025 11:13:55,1758798835622,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,TikTik,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
34,1758798835622,25/09/2025 11:13:55,1758798835622,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,Snapchat,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
35,1758798835623,25/09/2025 11:13:55,1758798835623,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,Facebook,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
36,1758798835623,25/09/2025 11:13:55,1758798835623,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,Instagram,1,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
37,1758798835623,25/09/2025 11:13:55,1758798835623,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,YouTube,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
38,1758798835624,25/09/2025 11:13:55,1758798835624,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,Twitter,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
39,1758798835624,25/09/2025 11:13:55,1758798835624,1,25/09/2025 12:13:55,239176,3,questionnaire-nlz5,,49415459,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,Demographics,5,Page 1,km46lf,1,Which of these messaging or social media platforms do you regularly use?,response,Discord,0,,TikTik|Snapchat|Facebook|Instagram|YouTube|Twitter|Discord|Bluesky|LinkedNn|WeChat|Whatsapp,socialmed_platform,6,object-9
