"","pid","item","response"
"1","14139661","trees_find_out",3
"2","14139661","trees_water",3
"3","14139661","filler_travel",5
"4","14139661","filler_watch",1
"5","14139661","filler_pizza",2
"6","14139661","filler_sci",5
"7","14139662","trees_find_out",1
"8","14139662","trees_water",2
"9","14139662","filler_travel",7
"10","14139662","filler_watch",1
"11","14139662","filler_pizza",3
"12","14139662","filler_sci",4
"13","14139663","trees_find_out",6
"14","14139663","trees_water",6
"15","14139663","filler_travel",5
"16","14139663","filler_watch",1
"17","14139663","filler_pizza",5
"18","14139663","filler_sci",5
"19","14139664","trees_find_out",1
"20","14139664","trees_water",5
"21","14139664","filler_travel",3
"22","14139664","filler_watch",7
"23","14139664","filler_pizza",7
"24","14139664","filler_sci",7
"25","14139665","trees_find_out",5
"26","14139665","trees_water",6
"27","14139665","filler_travel",6
"28","14139665","filler_watch",1
"29","14139665","filler_pizza",6
"30","14139665","filler_sci",6
"31","14139666","trees_find_out",3
"32","14139666","trees_water",4
"33","14139666","filler_travel",5
"34","14139666","filler_watch",2
"35","14139666","filler_pizza",6
"36","14139666","filler_sci",2
"37","14139667","trees_find_out",3
"38","14139667","trees_water",3
"39","14139667","filler_travel",5
"40","14139667","filler_watch",1
"41","14139667","filler_pizza",6
"42","14139667","filler_sci",4
"43","14139668","trees_find_out",1
"44","14139668","trees_water",1
"45","14139668","filler_travel",7
"46","14139668","filler_watch",1
"47","14139668","filler_pizza",7
"48","14139668","filler_sci",5
"49","14139669","trees_find_out",5
"50","14139669","trees_water",5
"51","14139669","filler_travel",3
"52","14139669","filler_watch",2
"53","14139669","filler_pizza",4
"54","14139669","filler_sci",6
"55","14139670","trees_find_out",2
"56","14139670","trees_water",2
"57","14139670","filler_travel",5
"58","14139670","filler_watch",1
"59","14139670","filler_pizza",5
"60","14139670","filler_sci",3
"61","14139671","trees_find_out",2
"62","14139671","trees_water",3
"63","14139671","filler_travel",4
"64","14139671","filler_watch",1
"65","14139671","filler_pizza",2
"66","14139671","filler_sci",6
"67","14139672","trees_find_out",2
"68","14139672","trees_water",3
"69","14139672","filler_travel",5
"70","14139672","filler_watch",2
"71","14139672","filler_pizza",6
"72","14139672","filler_sci",6
"73","14139673","trees_find_out",5
"74","14139673","trees_water",3
"75","14139673","filler_travel",5
"76","14139673","filler_watch",2
"77","14139673","filler_pizza",5
"78","14139673","filler_sci",6
"79","14139674","trees_find_out",3
"80","14139674","trees_water",3
"81","14139674","filler_travel",6
"82","14139674","filler_watch",2
"83","14139674","filler_pizza",6
"84","14139674","filler_sci",3
"85","14139675","trees_find_out",3
"86","14139675","trees_water",3
"87","14139675","filler_travel",5
"88","14139675","filler_watch",3
"89","14139675","filler_pizza",5
"90","14139675","filler_sci",5
"91","14139676","trees_find_out",5
"92","14139676","trees_water",5
"93","14139676","filler_travel",5
"94","14139676","filler_watch",2
"95","14139676","filler_pizza",5
"96","14139676","filler_sci",6
"97","14139677","trees_find_out",1
"98","14139677","trees_water",1
"99","14139677","filler_travel",1
"100","14139677","filler_watch",1
"101","14139677","filler_pizza",1
"102","14139677","filler_sci",6
"103","14139678","trees_find_out",5
"104","14139678","trees_water",4
"105","14139678","filler_travel",6
"106","14139678","filler_watch",1
"107","14139678","filler_pizza",7
"108","14139678","filler_sci",6
"109","14139679","trees_find_out",3
"110","14139679","trees_water",3
"111","14139679","filler_travel",5
"112","14139679","filler_watch",4
"113","14139679","filler_pizza",6
"114","14139679","filler_sci",2
"115","14139680","trees_find_out",2
"116","14139680","trees_water",2
"117","14139680","filler_travel",7
"118","14139680","filler_watch",1
"119","14139680","filler_pizza",7
"120","14139680","filler_sci",5
"121","14139681","trees_find_out",1
"122","14139681","trees_water",5
"123","14139681","filler_travel",7
"124","14139681","filler_watch",1
"125","14139681","filler_pizza",6
"126","14139681","filler_sci",3
"127","14139682","trees_find_out",3
"128","14139682","trees_water",3
"129","14139682","filler_travel",2
