"","pid","trial","type","memitem","response","acc","rt","use"
"1","14139661",1,"trees","watertime",TRUE,0,16178.8999999989,FALSE
"2","14139661",2,"filler","kuril",TRUE,1,2168.59999999926,TRUE
"3","14139661",3,"filler","swaps",TRUE,0,3729.59999999963,TRUE
"4","14139661",4,"trees","litres",TRUE,0,1868.50000000037,TRUE
"5","14139661",5,"trees","washliquid",FALSE,0,3056.8,TRUE
"6","14139661",6,"filler","starwars",TRUE,1,5250.79999999925,TRUE
"7","14139661",7,"trees","pourloc",TRUE,1,5456.19999999888,TRUE
"8","14139661",8,"filler","imap",TRUE,0,4959.60000000001,TRUE
"9","14139662",1,"filler","swaps",FALSE,1,8871.99999999404,TRUE
"10","14139662",2,"filler","kuril",FALSE,0,5173.09999999851,TRUE
"11","14139662",3,"trees","pourloc",TRUE,1,6227.29999999702,TRUE
"12","14139662",4,"trees","washliquid",TRUE,1,3296.19999999702,TRUE
"13","14139662",5,"trees","litres",TRUE,0,3477.49999999404,TRUE
"14","14139662",6,"filler","starwars",TRUE,1,2238.09999999404,TRUE
"15","14139662",7,"trees","watertime",TRUE,0,3891.19999999702,TRUE
"16","14139662",8,"filler","imap",TRUE,0,2689.09999999702,TRUE
"17","14139663",1,"filler","imap",TRUE,0,3760.50000000037,TRUE
"18","14139663",1,"filler","imap",TRUE,0,10528.1999999996,TRUE
"19","14139663",2,"filler","starwars",TRUE,1,3824.60000000037,TRUE
"20","14139663",3,"trees","watertime",FALSE,1,3633.40000000001,TRUE
"21","14139663",4,"filler","swaps",TRUE,0,3303.8,TRUE
"22","14139663",5,"trees","pourloc",TRUE,1,3527.60000000075,TRUE
"23","14139663",6,"trees","washliquid",FALSE,0,2792.09999999963,TRUE
"24","14139663",7,"filler","kuril",FALSE,0,3085.39999999963,TRUE
"25","14139663",8,"trees","litres",TRUE,0,2122.00000000038,TRUE
"26","14139664",1,"trees","pourloc",FALSE,0,10354.799999997,TRUE
"27","14139664",1,"trees","pourloc",FALSE,0,19562.299999997,FALSE
"28","14139664",2,"trees","litres",TRUE,0,4003.9,TRUE
"29","14139664",3,"filler","swaps",FALSE,1,5164.80000000298,TRUE
"30","14139664",4,"trees","watertime",FALSE,1,8565.6,TRUE
"31","14139664",5,"filler","starwars",FALSE,0,4714.69999999405,TRUE
"32","14139664",6,"trees","washliquid",FALSE,0,4796.39999999999,TRUE
"33","14139664",7,"filler","kuril",FALSE,0,3238.39999999703,TRUE
"34","14139664",8,"filler","imap",TRUE,0,3229.39999999703,TRUE
"35","14139665",1,"trees","litres",FALSE,1,5725.39999995232,TRUE
"36","14139665",2,"filler","kuril",TRUE,1,3037.30000004768,TRUE
"37","14139665",3,"filler","swaps",FALSE,1,4417.10000014305,TRUE
"38","14139665",4,"filler","imap",FALSE,1,3813.40000009537,TRUE
"39","14139665",5,"trees","washliquid",FALSE,0,2691.2,TRUE
"40","14139665",6,"trees","watertime",FALSE,1,2153.10000000001,TRUE
"41","14139665",7,"trees","pourloc",TRUE,1,2797.5,TRUE
"42","14139665",8,"filler","starwars",TRUE,1,2186.20000009537,TRUE
"43","14139666",1,"filler","swaps",FALSE,1,2112.2,TRUE
"44","14139666",2,"filler","imap",TRUE,0,1776.90000000037,TRUE
"45","14139666",3,"filler","starwars",TRUE,1,1473.99999999888,TRUE
"46","14139666",4,"trees","watertime",FALSE,1,1659.69999999888,TRUE
"47","14139666",5,"filler","kuril",FALSE,0,1498.1,TRUE
"48","14139666",6,"trees","washliquid",TRUE,1,1484.19999999888,TRUE
"49","14139666",7,"trees","pourloc",TRUE,1,1969.9,TRUE
"50","14139666",8,"trees","litres",FALSE,1,1488.1,TRUE
"51","14139667",1,"filler","starwars",TRUE,1,2658.59999995232,TRUE
"52","14139667",2,"filler","swaps",FALSE,1,1858.7,TRUE
"53","14139667",3,"trees","watertime",TRUE,0,1422.99999990463,TRUE
"54","14139667",3,"trees","watertime",FALSE,1,2215.29999985694,TRUE
"55","14139667",4,"trees","washliquid",FALSE,0,2994.29999985694,TRUE
"56","14139667",5,"trees","pourloc",TRUE,1,2522.99999980925,TRUE
"57","14139667",6,"filler","kuril",FALSE,0,1956.20000000001,TRUE
"58","14139667",7,"filler","imap",TRUE,0,1528.99999985695,TRUE
"59","14139667",8,"trees","litres",FALSE,1,1819.49999995233,TRUE
"60","14139668",1,"filler","starwars",TRUE,1,2455.90000004768,TRUE
"61","14139668",2,"trees","washliquid",TRUE,1,1818.20000009537,TRUE
"62","14139668",3,"trees","watertime",FALSE,1,1520.40000009537,TRUE
"63","14139668",4,"filler","kuril",FALSE,0,2001.2,TRUE
"64","14139668",5,"trees","litres",TRUE,0,1966.20000004768,TRUE
"65","14139668",6,"filler","imap",TRUE,0,1787.00000004769,TRUE
"66","14139668",7,"trees","pourloc",TRUE,1,1873.49999995231,TRUE
"67","14139668",8,"filler","swaps",FALSE,1,2622.1,TRUE
"68","14139669",1,"filler","swaps",TRUE,0,4130.44,TRUE
"69","14139669",2,"trees","watertime",FALSE,1,3063.18,TRUE
"70","14139669",3,"filler","starwars",TRUE,1,2609.46,TRUE
"71","14139669",4,"trees","washliquid",FALSE,0,2541.08,TRUE
"72","14139669",5,"trees","litres",TRUE,0,1258,TRUE
"73","14139669",6,"filler","kuril",TRUE,1,1598.52,TRUE
"74","14139669",7,"filler","imap",TRUE,0,1896.58,TRUE
"75","14139669",8,"trees","pourloc",TRUE,1,6213.8,TRUE
"76","14139670",1,"filler","imap",TRUE,0,2843.10000007153,TRUE
"77","14139670",2,"trees","pourloc",TRUE,1,3179.9,TRUE
