Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1758462722127,21/09/2025 13:52:02,1758466322127,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,,,,,info,,BEGIN,,,,,
2,1758462722154,21/09/2025 13:52:02,1758466322154,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758462722154,21/09/2025 13:52:02,1758466322154,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
4,1758462722155,21/09/2025 13:52:02,1758466322155,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4
5,1758462722155,21/09/2025 13:52:02,1758466322155,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6
6,1758462722156,21/09/2025 13:52:02,1758466322156,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13
7,1758462722156,21/09/2025 13:52:02,1758466322156,1,21/09/2025 15:52:02,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,info,,4,,,filler_pizza,7,object-14
8,1758462734238,21/09/2025 13:52:14,1758466334238,1,21/09/2025 15:52:14,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,,continue,,,,,screen,0,screen
9,1758462734244,21/09/2025 13:52:14,1758466334244,1,21/09/2025 15:52:14,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,action,value,5,,,trees_find_out,2,object-3
10,1758462734245,21/09/2025 13:52:14,1758466334245,1,21/09/2025 15:52:14,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",action,value,3,,,trees_water,3,object-5
11,1758462734245,21/09/2025 13:52:14,1758466334245,1,21/09/2025 15:52:14,238955,3,questionnaire-jx4p,,49331083,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Behavioural intentions,4,sep_blocks,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",action,value,3,,,filler_travel,4,object-4
