Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1758462558360,21/09/2025 13:49:18,1758466158360,1,21/09/2025 15:49:18,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,,,,,info,,BEGIN,,,,,
2,1758462562881,21/09/2025 13:49:22,1758466162881,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,,continue,,,,,screen,0,screen
3,1758462562882,21/09/2025 13:49:22,1758466162882,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,action,information-consent,1,,information|age|participate,Consent Form,2,object-3
4,1758462562882,21/09/2025 13:49:22,1758466162882,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,action,age-consent,1,,information|age|participate,Consent Form,2,object-3
5,1758462562882,21/09/2025 13:49:22,1758466162882,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,action,participate-consent,1,,information|age|participate,Consent Form,2,object-3
6,1758462562883,21/09/2025 13:49:22,1758466162883,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,response,information-consent,1,,information|age|participate,Consent Form,2,object-3
7,1758462562883,21/09/2025 13:49:22,1758466162883,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,response,age-consent,1,,information|age|participate,Consent Form,2,object-3
8,1758462562883,21/09/2025 13:49:22,1758466162883,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,Page 1,qa6krs,1,Please read and respond to the following statements,response,participate-consent,1,,information|age|participate,Consent Form,2,object-3
9,1758462562883,21/09/2025 13:49:22,1758466162883,1,21/09/2025 15:49:22,238955,3,questionnaire-nck9,,49331055,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,consent and info,3,sep_blocks,,,,,info,,END,4480,,,,
END OF FILE
