Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1758462565118,21/09/2025 13:49:25,1758466165118,1,21/09/2025 15:49:25,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,,,,,info,,BEGIN,,,,,
2,1758462565150,21/09/2025 13:49:25,1758466165150,1,21/09/2025 15:49:25,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,,info,,18,,,age Slider,1,object-2
3,1758462565152,21/09/2025 13:49:25,1758466165152,1,21/09/2025 15:49:25,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,,info,,0,,,distance Slider,3,object-6
4,1758462565153,21/09/2025 13:49:25,1758466165153,1,21/09/2025 15:49:25,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,,info,,1,,,lived Slider,4,object-7
5,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,,continue,,,,,screen,0,screen
6,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,How many years old are you?,action,value,44,,,age Slider,1,object-2
7,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Are you,action,value,Female,,Male|Female|You would rather not say,Multiple Choice,2,object-4
8,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Are you,action,quantised,2,,Male|Female|You would rather not say,Multiple Choice,2,object-4
9,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Roughly how many miles do you live from a city centre?,action,value,5,,,distance Slider,3,object-6
10,1758462574004,21/09/2025 13:49:34,1758466174004,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,How long have you been a resident in your local area in year?,action,value,16,,,lived Slider,4,object-7
11,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,What is your approximate household income?,action,value,"£61,000 to £90,000",,,Rating Scale,5,object-8
12,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,What is your approximate household income?,action,quantised,3,,,Rating Scale,5,object-8
13,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,How many years old are you?,response,value,44,,,age Slider,1,object-2
14,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Are you,response,value,Female,,Male|Female|You would rather not say,Multiple Choice,2,object-4
15,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Are you,response,quantised,2,,Male|Female|You would rather not say,Multiple Choice,2,object-4
16,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,Roughly how many miles do you live from a city centre?,response,value,5,,,distance Slider,3,object-6
17,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,How long have you been a resident in your local area in year?,response,value,16,,,lived Slider,4,object-7
18,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,What is your approximate household income?,response,value,"£61,000 to £90,000",,,Rating Scale,5,object-8
19,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,Page 1,km46lf,1,What is your approximate household income?,response,quantised,3,,,Rating Scale,5,object-8
20,1758462574005,21/09/2025 13:49:34,1758466174005,1,21/09/2025 15:49:34,238955,3,questionnaire-nlz5,,49331057,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Demographics,3,sep_blocks,,,,,info,,END,8849,,,,
END OF FILE
