Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: feedback
1,1758462687011,21/09/2025 13:51:27,1758466287011,1,21/09/2025 15:51:27,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1758462689191,21/09/2025 13:51:29,1758466289191,1,21/09/2025 15:51:29,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,1,instructions,instr,fd1y9j,1,continue,,3211,3194,3211,3211,3194,3211,1,0,0,,Click To Continue,Continue Button,2,object-21,instructions,,,
3,1758462691140,21/09/2025 13:51:31,1758466291140,1,21/09/2025 15:51:31,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,1,test item,Screen 2,9ngvmk,1,continue,,1969,1969,1969,1969,1969,1969,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. "
4,1758462691980,21/09/2025 13:51:31,1758466291980,1,21/09/2025 15:51:31,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,false,840,833,840,840,833,840,1,0,0,,Click Response,false response,9,object-11,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. "
5,1758462694081,21/09/2025 13:51:34,1758466294081,1,21/09/2025 15:51:34,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,next,2941.000000000001,2935,2941.000000000001,2941.000000000001,2935,2941.000000000001,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. "
6,1758462696043,21/09/2025 13:51:36,1758466296043,1,21/09/2025 15:51:36,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,2,test item,Screen 2,9ngvmk,1,continue,,1969,1969,1969,1969,1969,1969,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening"
7,1758462696555,21/09/2025 13:51:36,1758466296555,1,21/09/2025 15:51:36,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,true,511,500,511,511,500,511,0,0,0,,Click Response,true response,8,object-13,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening"
8,1758462697848,21/09/2025 13:51:37,1758466297848,1,21/09/2025 15:51:37,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,next,1800,1784,1800,1800,1784,1800,0,0,0,,Click Response,Click To Continue,7,object-22,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening"
9,1758462699796,21/09/2025 13:51:39,1758466299796,1,21/09/2025 15:51:39,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,3,test item,Screen 2,9ngvmk,1,continue,,1968,1968,1968,1968,1968,1968,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day
10,1758462700336,21/09/2025 13:51:40,1758466300336,1,21/09/2025 15:51:40,238955,3,task-3rn9,,49331071,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,Memory Test,5,sep_blocks,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,false,540,534,540,540,534,540,1,0,0,,Click Response,false response,9,object-11,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day
