Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: slider_prompt,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: blocks,Spreadsheet: randomise,Spreadsheet: type,Spreadsheet: left_slide,Spreadsheet: right_slider
1,1758462576013,21/09/2025 13:49:36,1758466176013,1,21/09/2025 15:49:36,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1758462577699,21/09/2025 13:49:37,1758466177699,1,21/09/2025 15:49:37,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,1,instr,Screen 1,3y5lbv,1,continue,,1685,1669,1685,1685,1669,1685,1,0,0,,Click To Continue,Continue Button,2,object-23,instr,,,,,,,,,,,,,,,,,,instr,,,,
3,1758462582375,21/09/2025 13:49:42,1758466182375,1,21/09/2025 15:49:42,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,1,post_single,Screen 1,yruilm,1,action,laugh,4688,4688,4696,4688,4688,4696,1,8,0,react,Social Media,Social Media,1,object-19,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,,social_media,1,filler,,
4,1758462588650,21/09/2025 13:49:48,1758466188650,1,21/09/2025 15:49:48,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,1,post_single,Screen 1,yruilm,1,continue,,10972.000000000002,10960,10972.000000000002,10972.000000000002,10960,10972.000000000002,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,,social_media,1,filler,,
5,1758462588657,21/09/2025 13:49:48,1758466188657,1,21/09/2025 15:49:48,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,1,post_single,Screen 1,yruilm,1,response,laugh,4688,10960,10976,4688,10960,10976,1,6288,0,react,Social Media,Social Media,1,object-19,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,,social_media,1,filler,,
6,1758462593066,21/09/2025 13:49:53,1758466193066,1,21/09/2025 15:49:53,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,2,post_single,Screen 1,yruilm,1,continue,,4427.000000000004,4422,4427.000000000004,4427.000000000004,4422,4427.000000000004,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,126,,2453,12,1,,14,,,,,,social_media,1,filler,,
7,1758462595997,21/09/2025 13:49:55,1758466195997,1,21/09/2025 15:49:55,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,3,post_single,Screen 1,yruilm,1,action,surprise,2934,2934,2936,2934,2934,2936,1,2,0,react,Social Media,Social Media,1,object-19,post_single,Pauline G,Selling my handmade beautiful jewellery in Liverpool - this weekend. Please visit and buy yourself some jewellery you never knew you needed! ,jewel.jpg,pg.jpg,,,,,,,,,,,,,,social_media,1,filler,,
8,1758462597331,21/09/2025 13:49:57,1758466197331,1,21/09/2025 15:49:57,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,3,post_single,Screen 1,yruilm,1,continue,,4267,4251,4267,4267,4251,4267,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Pauline G,Selling my handmade beautiful jewellery in Liverpool - this weekend. Please visit and buy yourself some jewellery you never knew you needed! ,jewel.jpg,pg.jpg,,,,,,,,,,,,,,social_media,1,filler,,
9,1758462597331,21/09/2025 13:49:57,1758466197331,1,21/09/2025 15:49:57,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,3,post_single,Screen 1,yruilm,1,response,surprise,2934,4251,4267,2934,4251,4267,1,1333,0,react,Social Media,Social Media,1,object-19,post_single,Pauline G,Selling my handmade beautiful jewellery in Liverpool - this weekend. Please visit and buy yourself some jewellery you never knew you needed! ,jewel.jpg,pg.jpg,,,,,,,,,,,,,,social_media,1,filler,,
10,1758462598157,21/09/2025 13:49:58,1758466198157,1,21/09/2025 15:49:58,238955,3,task-qm8h,,49331058,,14114872,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 26.0,2560x1440,1711x1257,,,0,T1 social media,9,sep_blocks,Spreadsheet1,Spreadsheet1,4,post_single,Screen 1,yruilm,1,continue,,846,834,846,846,834,846,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,fashion_now567,Last Day 🔥 Promotion 50% OFF A Bluetooth fashion smartwatch.🔥 $85.69 redcued to $59.99 Save 30%. HURRY! ONLY 45 LEFT IN STOCK. 98% customer buy 2-4 items to use daily and gifts for their beloved one. Sale ending in 2:43 hours,watch1.jpg,,87,,,45,13,,7,,,,,fangirl444,GREAT!!!! ARRIVED QUICKLY AND SAVED ££££,social_media,1,scam,,
