Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-wisg
1,1758455118040,21/09/2025 11:45,1758458718040,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,,,,,info,,BEGIN,,,,,,integrated_blocks
2,1758455118094,21/09/2025 11:45,1758458718094,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3,integrated_blocks
3,1758455118095,21/09/2025 11:45,1758458718095,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5,integrated_blocks
4,1758455118096,21/09/2025 11:45,1758458718096,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4,integrated_blocks
5,1758455118098,21/09/2025 11:45,1758458718098,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6,integrated_blocks
6,1758455118099,21/09/2025 11:45,1758458718099,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13,integrated_blocks
7,1758455118100,21/09/2025 11:45,1758458718100,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,7,object-14,integrated_blocks
16,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,6,,,trees_find_out,2,object-3,integrated_blocks
17,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,5,,,trees_water,3,object-5,integrated_blocks
18,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,7,,,filler_travel,4,object-4,integrated_blocks
19,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,5,,,filler_watch,5,object-6,integrated_blocks
20,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,7,,,filler_pizza,6,object-13,integrated_blocks
21,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,6,,,filler_pizza,7,object-14,integrated_blocks
22,1758455137242,21/09/2025 11:45,1758458737242,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329701,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,Behavioural intentions,4,,,,,info,,END,19142,,,,,integrated_blocks
1,1758455196393,21/09/2025 11:46,1758458796393,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,,,,,info,,BEGIN,,,,,,sep_blocks
2,1758455196497,21/09/2025 11:46,1758458796497,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3,sep_blocks
3,1758455196502,21/09/2025 11:46,1758458796502,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5,sep_blocks
4,1758455196507,21/09/2025 11:46,1758458796507,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4,sep_blocks
5,1758455196512,21/09/2025 11:46,1758458796512,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6,sep_blocks
6,1758455196517,21/09/2025 11:46,1758458796517,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13,sep_blocks
7,1758455196522,21/09/2025 11:46,1758458796522,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,7,object-14,sep_blocks
16,1758455239576,21/09/2025 11:47,1758458839576,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,1,,,trees_find_out,2,object-3,sep_blocks
17,1758455239576,21/09/2025 11:47,1758458839576,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,1,,,trees_water,3,object-5,sep_blocks
18,1758455239577,21/09/2025 11:47,1758458839577,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,2,,,filler_travel,4,object-4,sep_blocks
19,1758455239578,21/09/2025 11:47,1758458839578,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,1,,,filler_watch,5,object-6,sep_blocks
20,1758455239578,21/09/2025 11:47,1758458839578,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,3,,,filler_pizza,6,object-13,sep_blocks
21,1758455239579,21/09/2025 11:47,1758458839579,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,1,,,filler_pizza,7,object-14,sep_blocks
