Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: feedback,randomiser-wisg
1,1758455121686,21/09/2025 11:45,1758458721686,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,sep_blocks
2,1758455124145,21/09/2025 11:45,1758458724145,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,instructions,instr,fd1y9j,1,continue,,2479.0600000357626,2463.46,2479.0600000357626,2479.0600000357626,2463.46,2479.0600000357626,1,0,0,,Click To Continue,Continue Button,2,object-21,instructions,,,,sep_blocks
3,1758455126094,21/09/2025 11:45,1758458726094,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,Screen 2,9ngvmk,1,continue,,1963.8999999999996,1963.8999999999996,1963.8999999999996,1963.8999999999996,1963.8999999999996,1963.8999999999996,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
4,1758455132304,21/09/2025 11:45,1758458732304,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,true,6209.900000000001,6193.3,6209.900000000001,6209.900000000001,6193.3,6209.900000000001,0,0,0,,Click Response,true response,8,object-13,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
5,1758455135416,21/09/2025 11:45,1758458735416,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,next,9322,9305.3,9322,9322,9305.3,9322,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
6,1758455137363,21/09/2025 11:45,1758458737363,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,Screen 2,9ngvmk,1,continue,,1963.7999999999993,1963.7999999999993,1963.7999999999993,1963.7999999999993,1963.7999999999993,1963.7999999999993,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
7,1758455143192,21/09/2025 11:45,1758458743192,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,true,5830.000000011922,5813.5,5830.000000011922,5830.000000011922,5813.5,5830.000000011922,0,0,0,,Click Response,true response,8,object-13,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
8,1758455145371,21/09/2025 11:45,1758458745371,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,next,8006.499999999996,7989.799999999999,8006.499999999996,8006.499999999996,7989.799999999999,8006.499999999996,0,0,0,,Click Response,Click To Continue,7,object-22,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
9,1758455147317,21/09/2025 11:45,1758458747317,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,Screen 2,9ngvmk,1,continue,,1964.2000000000007,1964.2000000000007,1964.2000000000007,1964.2000000000007,1964.2000000000007,1964.2000000000007,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
10,1758455150816,21/09/2025 11:45,1758458750816,1,21/09/2025 13:45,238955,3,task-3rn9,,49329702,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,false,3499.39999998808,3495,3499.39999998808,3499.39999998808,3495,3499.39999998808,1,0,0,,Click Response,false response,9,object-11,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
