Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-wisg,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: blocks,Spreadsheet: randomise,Spreadsheet: type,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: feedback
1,1758454826379,21/09/2025 11:40,1758458426379,1,21/09/2025 13:40,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1758454831155,21/09/2025 11:40,1758458431155,1,21/09/2025 13:40,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,sm instructions,instr,3y5lbv,1,continue,,4767,4751,4767,4767,4751,4767,1,0,0,,Click To Continue,Continue Button,2,object-23,sm instructions,,,,,,,,,,,,,,,,,sm_1,,,,,
3,1758454842672,21/09/2025 11:40,1758458442672,1,21/09/2025 13:40,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,post_single,post,yruilm,1,action,surprise,11533,11533,11549,11533,11533,11549,1,16,0,react,Social Media,Social Media,1,object-19,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,sm_1,1,filler_test,,,
4,1758454855670,21/09/2025 11:40,1758458455670,1,21/09/2025 13:40,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,post_single,post,yruilm,1,continue,,24533,24516,24533,24533,24516,24533,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,sm_1,1,filler_test,,,
5,1758454855678,21/09/2025 11:40,1758458455678,1,21/09/2025 13:40,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,1,post_single,post,yruilm,1,response,surprise,11533,24516,24533,11533,24516,24533,1,13000,0,react,Social Media,Social Media,1,object-19,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,,125,32,,45,,,,,,sm_1,1,filler_test,,,
6,1758454864169,21/09/2025 11:41,1758458464169,1,21/09/2025 13:41,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,2,post_single,post,yruilm,1,continue,,8519,8501,8519,8519,8501,8519,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,natgeo,"Photo by @chrisburkard | Russia's remote, volcanic Kuril Islands sit along the Pacific Ring of Fire where runoff from the land creates dramatic color shifts in the water. The vibrant patterns are caused by suspended minerals and silt, constantly reshaped by tides and wind. In a region defined by isolation and tectonic unrest, even the ocean becomes a canvas of motion and change.",natgeo.png,natgoeID.png,45,98,,3,22,,,,,,,,sm_1,1,filler_test,,,
7,1758454880802,21/09/2025 11:41,1758458480802,1,21/09/2025 13:41,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,3,post_single,post,yruilm,1,action,like,16647,16647,16661,16647,16647,16661,1,14,0,react,Social Media,Social Media,1,object-19,post_single,HistoryFeels,"Nine days after Star Wars opened in 1977, Alec Guinness (Obi-Wan Kenobi) wrote in his diary: ‘Am pinning my hopes on Star Wars percentage which could bring me £100K or more if it does Jaws business, as predicted.’ He ended up earning an estimated $95 million for what amounted to 20 minutes of screen time.
When Star Wars premiered in May 1977, even its cast and crew had little idea of the cultural juggernaut it would become. Alec Guinness, already an accomplished actor with an Academy Award to his name, viewed his role as Obi-Wan Kenobi with some skepticism. In fact, he reportedly found some of the dialogue clunky and even doubted whether the film would resonate with audiences. Yet, shrewdly, Guinness negotiated a deal that included a small percentage of the film’s profits—something highly unusual at the time for an actor in his position.
Just nine days after the movie’s release, Guinness confided in his diary that he was hopeful the percentage might yield him around £100,000 if the film managed to perform like Spielberg’s Jaws. What unfolded was beyond his imagination: Star Wars exploded into a worldwide phenomenon, earning hundreds of millions and spawning a multi-decade franchise. Guinness’s share ultimately netted him an estimated $95 million over the years for less than half an hour of actual screen time.
His decision remains one of the most legendary deals in Hollywood history—a testament to foresight, negotiation, and a little bit of luck. Obi-Wan Kenobi became not only an iconic character but also a financial windfall Guinness could never have predicted.",star wars image.jpg,starwars ID.png,,76,,45,,,55,,,,,,sm_1,1,filler_test,,,
8,1758454895119,21/09/2025 11:41,1758458495119,1,21/09/2025 13:41,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,3,post_single,post,yruilm,1,continue,,30962,30946,30962,30962,30946,30962,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,HistoryFeels,"Nine days after Star Wars opened in 1977, Alec Guinness (Obi-Wan Kenobi) wrote in his diary: ‘Am pinning my hopes on Star Wars percentage which could bring me £100K or more if it does Jaws business, as predicted.’ He ended up earning an estimated $95 million for what amounted to 20 minutes of screen time.
When Star Wars premiered in May 1977, even its cast and crew had little idea of the cultural juggernaut it would become. Alec Guinness, already an accomplished actor with an Academy Award to his name, viewed his role as Obi-Wan Kenobi with some skepticism. In fact, he reportedly found some of the dialogue clunky and even doubted whether the film would resonate with audiences. Yet, shrewdly, Guinness negotiated a deal that included a small percentage of the film’s profits—something highly unusual at the time for an actor in his position.
Just nine days after the movie’s release, Guinness confided in his diary that he was hopeful the percentage might yield him around £100,000 if the film managed to perform like Spielberg’s Jaws. What unfolded was beyond his imagination: Star Wars exploded into a worldwide phenomenon, earning hundreds of millions and spawning a multi-decade franchise. Guinness’s share ultimately netted him an estimated $95 million over the years for less than half an hour of actual screen time.
His decision remains one of the most legendary deals in Hollywood history—a testament to foresight, negotiation, and a little bit of luck. Obi-Wan Kenobi became not only an iconic character but also a financial windfall Guinness could never have predicted.",star wars image.jpg,starwars ID.png,,76,,45,,,55,,,,,,sm_1,1,filler_test,,,
9,1758454895127,21/09/2025 11:41,1758458495127,1,21/09/2025 13:41,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,3,post_single,post,yruilm,1,response,like,16647,30946,30962,16647,30946,30962,1,14315,0,react,Social Media,Social Media,1,object-19,post_single,HistoryFeels,"Nine days after Star Wars opened in 1977, Alec Guinness (Obi-Wan Kenobi) wrote in his diary: ‘Am pinning my hopes on Star Wars percentage which could bring me £100K or more if it does Jaws business, as predicted.’ He ended up earning an estimated $95 million for what amounted to 20 minutes of screen time.
When Star Wars premiered in May 1977, even its cast and crew had little idea of the cultural juggernaut it would become. Alec Guinness, already an accomplished actor with an Academy Award to his name, viewed his role as Obi-Wan Kenobi with some skepticism. In fact, he reportedly found some of the dialogue clunky and even doubted whether the film would resonate with audiences. Yet, shrewdly, Guinness negotiated a deal that included a small percentage of the film’s profits—something highly unusual at the time for an actor in his position.
Just nine days after the movie’s release, Guinness confided in his diary that he was hopeful the percentage might yield him around £100,000 if the film managed to perform like Spielberg’s Jaws. What unfolded was beyond his imagination: Star Wars exploded into a worldwide phenomenon, earning hundreds of millions and spawning a multi-decade franchise. Guinness’s share ultimately netted him an estimated $95 million over the years for less than half an hour of actual screen time.
His decision remains one of the most legendary deals in Hollywood history—a testament to foresight, negotiation, and a little bit of luck. Obi-Wan Kenobi became not only an iconic character but also a financial windfall Guinness could never have predicted.",star wars image.jpg,starwars ID.png,,76,,45,,,55,,,,,,sm_1,1,filler_test,,,
10,1758454907235,21/09/2025 11:41,1758458507235,1,21/09/2025 13:41,238955,3,task-v8r9,,49329622,BLINDED,14114574,,complete,,68cfe3ec10421113fe6a7d1d,mobile,Apple iPhone,iOS 18.5,Mobile Safari 18.5,375x812,375x637,,,0,T1 social media memory,3,integrated_blocks,Spreadsheet1,Spreadsheet1,4,post_single,post,yruilm,1,continue,,12132,12116,12132,12132,12116,12132,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,history of the World,"On an ordinary summer morning in 2005, a bored and restless Canadian named Kyle MacDonald sat at his desk, staring at a small red paperclip lying nearby. Out of nowhere, a wild, ridiculous idea struck him: *“What if I could trade this paperclip… and keep trading up until I get a house?”* His heart pounded. He laughed at the absurdity—but then decided to give it a try.
His first trade was simple: he posted a photo of the red paperclip online and someone offered him a novelty fish-shaped pen in exchange. That pen led to a hand-sculpted doorknob, then a camping stove, then a generator, and eventually a snowmobile. As his trades gained attention, people from across the internet followed his journey, and the offers became more bizarre and exciting. At one point, he traded for a recording contract, then for a role in an actual Hollywood film.
Finally, after just 14 trades, the town of Kipling in Saskatchewan made him an unbelievable offer: *“Give us the movie role, and we’ll give you a house.”* Kyle accepted—and moved into his new home, keys in hand. What began as a joke became an internet legend. He wrote a book called *One Red Paperclip""* and inspired millions with his creative thinking and fearless ambition. Sometimes, all it takes to change your life is a tiny red paperclip—and the courage to start your own crazy game.""",paperclip pic.png,paperclip ID.png,23,13,5,55,,,,,,,,,sm_1,1,filler_test,,,
